"GOOD HEALTH MEDICAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        QUAZI BAGH MARKET,NEAR RAM MANDIR GOLA BAZAR SHERGHATI GAYA-824211",,,,,,,,,,,,,,,
STOCK REPORT AS ON DATE 23-07-2026,,,,,,,,,,,,,,,
Code,Product Name,Unit,Current Stock,Sales Scheme,,Purc.Scheme,,Cost Price,Value,M.R.P.,Purchase Price,Sales Price,Company,Manufacturer,Rack No.
,,,,Deal,Free,Deal,Free,,,,,,,,
ZZZ9421,ACUCLAV 625MG TAB 1*10TAB,TABS,2.8,0,0,0,0,105.489,295.37,180.38,106,0,MACLEODS,,
ALBADD101,ADLIV DROP* 60M,Pcs,3,0,0,0,0,60.53,181.59,80.49,61.33,0,ALBERT DAVID,,
ALBADS201,ADLIV SYRUP 200ML,PCS,4,0,0,0,0,117.12,468.48,157.43,119.94,0,ALBERT DAVID,,
00001309,AD OIL 100ML,PCS,1,0,0,0,0,135,135,180,135,0,GROWMED,,
000499,AD OIL 200ML,TAB.,2,0,0,0,0,278.89,557.78,340,285.6,0,CONCEPT BIOSCIENCES PVT LTD,,
SURADDF01,ADULT DIAPER FRIENDS XL* 10 PIC,Pcs,3,0,0,0,0,142.37,427.11,200,141.24,0,SURGICAL,,
SUIADO101,AD VITAMIN OIL 100ML,PCS,6,0,0,0,0,155.8467,935.08,190,159.6,0,SUNNY INDUSTRIES,,
CIPAEFR01,AEROCORT FORTE ROTACAP 30CAP,PCS,4,0,0,0,0,98.206,392.82,130.59,99.5,0,CIPLA,,
CIPAEI101,AEROCORT INHALER 1PCS,PCS,5,0,0,0,0,256.876,1284.38,341.59,260.26,0,CIPLA,,
ZZZ8409,AEROCORT ROTACAP 60CAP,TAB.,3,0,0,0,0,108.4333,325.3,142.67,108.7,0,MEDLEY,,
MACAEI101,AEROTROP F INH 1PIC,Pcs,2,0,0,0,0,459.545,919.09,617.67,470.61,0,MACLEODS,,
GLEAI2I03,AIRTEC SF 250MG ROTACAP 30CAP,PCS,2,0,0,0,0,392.69,785.38,527.81,402.14,0,GLENMARK,,
MICRO741,AJADUO 10/5 1*10,TAB.,4,0,0,0,0,148.11,592.44,185.6,148.48,0,CIPLA,,A003
2640,AJADUO 25/5 MG 1*10,TAB.,4,0,0,0,0,162.84,651.36,214.25,163.25,0,SUNCARE FORMALATION,,A012
LUPAKK101,AKT-2 TAB 1*10,TAB,7,0,0,0,0,107.878,755.15,141.95,108.15,0,LUPIN,,A017
LUPAK1C01,AKT 3 KIT 1KIT,KIT,40,0,0,0,0,15.9365,637.46,20.75,15.81,0,LUPIN,,A017
LUPAK1T01,AKURIT-3 TAB 1*10,TAB,6,0,0,0,0,64.452,386.71,85.7,65.3,0,LUPIN,,A008
LUPAK1T02,AKURIT 4MG TAB 1*10TAB,TAB,7,0,0,0,0,85.05,595.35,113.1,86.17,0,LUPIN,,A008
ALEAL1T01,AL5ZYME CAP 1*10CAP,CAP,6,0,0,0,0,110.753,664.52,148.87,113.42,0,ALEMBIC,,A021
ZZZ11233,ALCIFLOX 500 MG TAB 30*10.,TAB.,19,0,0,0,0,20,380,49,20,0,CIPLA,,A013
RPGAL2101,ALDACTONE 25MG TAB 1*15TAB,TAB,2,0,0,0,0,26.5335,53.07,34.9,26.6,0,RPG,,A001
RPGAL1102,ALDACTONE 50MG TAB 1*15TAB,TAB,3,0,0,0,0,55.524,166.57,74.62,56.86,0,RPG,,A0001
ISHAL1101,ALDAY TAB 1*10TAB,TAB,7,0,0,9,1,13.358,93.51,19.95,15.2,0,ISH,,A021
000652,ALDEGESIC SP FORTE 1*10TAB,TAB.,309,0,0,0,0,3.7,1143.3,146,37,0,PANACEA  8,,
